"","category","timePeriod","duration","definition","caption","madeForKids","views","likes","comments","viewsQuartile3","likesQuartile3","commentsQuartile3","likesQuartile9","commentsQuartile9","publishedAtMonth","publishedAtDay","publishedAtYear","age"
"371","comedy","after",189,"hd","True","False",14.1170060345385,10.2828824329111,6.84268328223842,"2",2,2,"6","5",10,17,2021,16.4838947627894
"372","comedy","after",164,"hd","True","False",14.4190289390711,10.1664285737244,6.36647044773144,"2",2,2,"6","5",12,12,2021,16.0749585828887
"373","news/politics","before",88,"hd","False","False",12.7539194498656,8.34355383500512,5.50533153593236,"2",1,1,"4","4",6,2,2019,18.3085599512493
"374","news/politics","after",170,"hd","False","False",13.55416917018,9.38185373005353,8.43988008831357,"2",2,3,"5","6",11,10,2021,16.3268151946332
"375","news/politics","after",510,"hd","False","False",13.735954231988,9.83579740356618,7.74240202181578,"2",2,3,"5","6",11,28,2021,16.191377524844
"376","education","before",419,"hd","True","False",13.0114720393518,8.94780609305705,5.605802066296,"2",2,1,"4","4",11,20,2019,18.12747466892
"377","education","before",409,"hd","True","False",14.527118780022,10.5175644691125,6.87419849545329,"2",2,2,"6","5",12,10,2019,18.1044282495836
"378","science/tech","before",242,"hd","True","False",13.4903868821378,8.99243308745722,6.09807428216624,"2",2,2,"4","4",7,18,2019,18.2634897019044
"379","news/politics","during",438,"hd","False","False",13.3621752374013,9.39291189752534,6.68461172766793,"2",2,2,"5","5",2,28,2021,17.3520706252432
"380","entertainment","before",1774,"hd","False","False",12.8880830416792,8.93432333105491,5.55682806169954,"2",2,1,"4","4",2,13,2019,18.4089582330153
"381","science/tech","during",520,"hd","True","False",14.2095466024327,10.801084641963,7.54750168281497,"2",3,2,"6","6",5,19,2021,17.1291354234094
"382","education","during",190,"hd","False","False",14.6369832289237,10.6355669430979,7.6657534318617,"2",2,3,"6","6",3,12,2021,17.3206004583038
"383","comedy","before",113,"hd","True","False",14.2999014425182,10.3062824320884,6.11368217983223,"2",2,2,"6","4",1,30,2020,18.0422507806112
"384","comedy","after",190,"hd","True","False",14.275359047885,10.0781968763279,6.76272950693188,"2",2,2,"5","5",10,17,2021,16.4842214842184
"385","education","before",459,"hd","False","False",13.1614013815596,8.35585004100747,7.13169851046691,"2",1,2,"4","6",8,1,2019,18.2489851313177
